PROJECT_NAME,DATA_DESCRIPTION,KEYWORD,KEYWORD2,LANGUAGE,INSTITUTION,INSTITUTION2,SCIENTIFIC_FIELD,SCIENTIFIC_FIELD2,PROJECT_COUNTRY,PROJECT_PROVINCE,PROJECT_AREA,PROJECT_CODE,FILE_CREATOR_NAME,FILE_CREATOR_FIRST_NAME,FILE_CREATOR_MAIL,CREATION_DATE,REFERENT_NAME,REFERENT_FIRST_NAME,REFERENT_MAIL,REFERENT_NAME2,REFERENT_FIRST_NAME2,REFERENT_MAIL2,SAMPLING_POINT-NAME,SAMPLING_POINT-COORDINATE_SYSTEM,SAMPLING_POINT-ABBREVIATION,SAMPLING_POINT-LONGITUDE,SAMPLING_POINT-LATITUDE,SAMPLING_POINT-ELEVATION,SAMPLING_POINT-DESCRIPTION,COORDINATE_SYSTEM_NAD,X_NAD,Y_NAD,Z_NAD,FILE_CREATOR_DISPLAY_NAME,TITLE,SAMPLE_NAME,SAMPLE_NAME_ORANO,SAMPLE_NAME_GEORESSOURCES,SAMPLE_TYPE,SAMPLING_DATE,HOLEID,HOLEID_LATITUDE,HOLEID_LONGITUDE,HOLEID_ELEVATION,HOLEID_X_NAD,HOLEID_Y_NAD,HOLEID_Z_NAD,SAMPLE_DEPTH_FROM,SAMPLE_DEPTH_TO,LITHOLOGY_ORANO,FORMATION_ORANO,LITHOLOGY,LITHOLOGY_2,LITHOLOGY_3,TEXTURE_STRUCTURE,TEXTURE_STRUCTURE_2,ORE_TYPE,ORE_TYPE_2,ORE_TYPE_3,HOST_AGE,MAIN_EVENT_AGE,ALTERATION_DEGREE,PICTURE,PICTURE2,PICTURE3,SAMPLE_LOCATION_BUILDING,STORAGE_ACCESS_REFERENT,SAMPLE_LOCATION_ROOM,SAMPLE_LOCATION_SHELF,SAMPLE_LOCATION_BOX,SAMPLE_LOCATION_BOX_TYPE,SAFETY_CONSTRAINTS,METHODOLOGY-SAMPLING,METHODOLOGY-SAMPLE_CONDITIONNING,METHODOLOGY-ANALYSIS,METHODOLOGY-SAMPLE,MEASUREMENT-ABBREV,MEASUREMENT-NATURE,MEASUREMENT-UNIT,ANALYSIS_LABORATORY,ANALYSIS_ABBREV,Vp_short_axis,Vp_long_axis,Vs_short_axis,Vs_long_axis,Vp_short_axis_sature,Vp_long_axis_sature,Vs_short_axis_sature,Vs_long_axis_sature,Absolute_solid_density,Bulk_density,Permeability,Magnetic_susceptibility,Resistivity_DC,Resistivity_AC_1hz,Resistivity_AC_10Khz,Thermic_conductivity,Poisson_ratio,Young_modulus,Graphite_prop_Imagery,Porosity_H2O,Porosity_He,Porosity_Hg,Kv,Estimated_qtz_fraction_paleo_brine_mix
Report_Submitted_to_Areva_Resources_Inc,petrophysical_WC_Powerline_Core_Samples,URANIUM,,ENGLISH,UNIVERSITY_OF_SASKATCHEWAN,ORANO,GEOLOGY,PETROPHYSIC,CANADA,SASKATCHEWAN,,,BENETEAU,D,,2018-03-01,MEHMOOD,S,,,,,WC524--520-8--520-8,WGS84 Greenwich,,-104.5956449,58.08400279,5.405770192,,NAD83_UTM_zone_13N,523845.8611,6438133.008,5.405770192,D_Beneteau,,WC524--1MAS--30,,,BSMT,,WC____524___,58.08163508,-104.591576,480.254,524087.401,6437870.847,480.254,520.8,520.8,CaSi,,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,MAGMATIC_TEXTURE,PHANERITIC,,,,,,,,,,,,,,,,,,,,,PETRO,PETROPHYSICS,text,ENSG,PETRO,3769.86,,2488,,,,,,,2.49,1.32E-12,,,10,,,,,,,,,,
Report_Submitted_to_Areva_Resources_Inc,petrophysical_WC_Powerline_Core_Samples,URANIUM,,ENGLISH,UNIVERSITY_OF_SASKATCHEWAN,ORANO,GEOLOGY,PETROPHYSIC,CANADA,SASKATCHEWAN,,,BENETEAU,D,,2018-03-01,MEHMOOD,S,,,,,WC524--540-1--540-1,WGS84 Greenwich,,-104.595641,58.08405441,-13.01710194,,NAD83_UTM_zone_13N,523846.0599,6438138.757,-13.01710194,D_Beneteau,,WC524--1MAS--31,,,BSMT,,WC____524___,58.08163508,-104.591576,480.254,524087.401,6437870.847,480.254,540.1,540.1,GnGraPel,,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,MAGMATIC_TEXTURE,PHANERITIC,,,,,,,,,,,,,,,,,,,,,PETRO,PETROPHYSICS,text,ENSG,PETRO,3196.54,,2266.92,,,,,,,2.58,4.77E-12,,,24,,,,,,,,,,
Report_Submitted_to_Areva_Resources_Inc,petrophysical_WC_Powerline_Core_Samples,URANIUM,,ENGLISH,UNIVERSITY_OF_SASKATCHEWAN,ORANO,GEOLOGY,PETROPHYSIC,CANADA,SASKATCHEWAN,,,BENETEAU,D,,2018-03-01,MEHMOOD,S,,,,,WC524--561--561,WGS84 Greenwich,,-104.5956367,58.08411032,-32.9672588,,NAD83_UTM_zone_13N,523846.2752,6438144.982,-32.9672588,D_Beneteau,,WC524--1MAS--32,,,BSMT,,WC____524___,58.08163508,-104.591576,480.254,524087.401,6437870.847,480.254,561,561,GnGraPel,,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,MAGMATIC_TEXTURE,PHANERITIC,,,,,,,,,,,,,,,,,,,,,PETRO,PETROPHYSICS,text,ENSG,PETRO,4626.59,,2613.28,,,,,,,2.61,4.09E-12,,,19,,,,,,,,,,
Report_Submitted_to_Areva_Resources_Inc,petrophysical_WC_Powerline_Core_Samples,URANIUM,,ENGLISH,UNIVERSITY_OF_SASKATCHEWAN,ORANO,GEOLOGY,PETROPHYSIC,CANADA,SASKATCHEWAN,,,BENETEAU,D,,2018-03-01,MEHMOOD,S,,,,,WC511--574-7--574-7,WGS84 Greenwich,,-104.5956041,58.08415052,-45.91737286,,NAD83_UTM_zone_13N,523848.1705,6438149.47,-45.91737286,D_Beneteau,,WC511--1MAS--31,,,BSMT,,WC____511___,58.08260734,-104.5951803,501.514,523874.195,6437977.812,501.514,574.7,574.7,GranT,,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,MAGMATIC_TEXTURE,PHANERITIC,,,,,,Argillized__Chloritized__Bleached,,,,,,,,,,,,,,,PETRO,PETROPHYSICS,text,ENSG,PETRO,4989.68,,3000.89,,,,,,,2.48,4.96E-12,,,36,,,,,,,,,,
Report_Submitted_to_Areva_Resources_Inc,petrophysical_WC_Powerline_Core_Samples,URANIUM,,ENGLISH,UNIVERSITY_OF_SASKATCHEWAN,ORANO,GEOLOGY,PETROPHYSIC,CANADA,SASKATCHEWAN,,,BENETEAU,D,,2018-03-01,MEHMOOD,S,,,,,WC511--598-7--598-7,WGS84 Greenwich,,-104.595607,58.08421378,-68.86009709,,NAD83_UTM_zone_13N,523847.9566,6438156.512,-68.86009709,D_Beneteau,,WC511--1MAS--32,,,BSMT,,WC____511___,58.08260734,-104.5951803,501.514,523874.195,6437977.812,501.514,598.7,598.7,GranT,,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,MAGMATIC_TEXTURE,PHANERITIC,,,,,,Argilisation_des_feldspaths,,,,,,,,,,,,,,,PETRO,PETROPHYSICS,text,ENSG,PETRO,5014.33,,2923.1,,,,,,,2.48,6.11E-12,,,41,,,,,,,,,,
Report_Submitted_to_Areva_Resources_Inc,petrophysical_WC_Powerline_Core_Samples,URANIUM,,ENGLISH,UNIVERSITY_OF_SASKATCHEWAN,ORANO,GEOLOGY,PETROPHYSIC,CANADA,SASKATCHEWAN,,,BENETEAU,D,,2018-03-01,MEHMOOD,S,,,,,WC511--629-1--629-1,WGS84 Greenwich,,-104.5956107,58.08429391,-97.92088111,,NAD83_UTM_zone_13N,523847.6856,6438165.431,-97.92088111,D_Beneteau,,WC511--1MAS--33,,,BSMT,,WC____511___,58.08260734,-104.5951803,501.514,523874.195,6437977.812,501.514,629.1,629.1,GranT,,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,MAGMATIC_TEXTURE,PHANERITIC,,,,,,ALTERED,,,,,,,,,,,,,,,PETRO,PETROPHYSICS,text,ENSG,PETRO,5230.97,,2831.01,,,,,,,2.53,3.51E-12,,,8,,,,,,,,,,
Report_Submitted_to_Areva_Resources_Inc,petrophysical_WC_Powerline_Core_Samples,URANIUM,,ENGLISH,UNIVERSITY_OF_SASKATCHEWAN,ORANO,GEOLOGY,PETROPHYSIC,CANADA,SASKATCHEWAN,,,BENETEAU,D,,2018-03-01,MEHMOOD,S,,,,,WC511--659-6--659-6,WGS84 Greenwich,,-104.5956144,58.0843743,-127.0772598,,NAD83_UTM_zone_13N,523847.4137,6438174.38,-127.0772598,D_Beneteau,,WC511--1MAS--34,,,BSMT,,WC____511___,58.08260734,-104.5951803,501.514,523874.195,6437977.812,501.514,659.6,659.6,GranT,,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,MAGMATIC_TEXTURE,PHANERITIC,,,,,,ALTERED,,,,,,,,,,,,,,,PETRO,PETROPHYSICS,text,ENSG,PETRO,3661.5,,2018.48,,,,,,,2.18,1.84E-11,,,6,,,,,,,,,,
Report_Submitted_to_Areva_Resources_Inc,petrophysical_WC_Powerline_Core_Samples,URANIUM,,ENGLISH,UNIVERSITY_OF_SASKATCHEWAN,ORANO,GEOLOGY,PETROPHYSIC,CANADA,SASKATCHEWAN,,,BENETEAU,D,,2018-03-01,MEHMOOD,S,,,,,WC511--667-2--667-2,WGS84 Greenwich,,-104.5956149,58.08439438,-134.3407832,,NAD83_UTM_zone_13N,523847.3691,6438176.615,-134.3407832,D_Beneteau,,WC511--1MAS--35,,,BSMT,,WC____511___,58.08260734,-104.5951803,501.514,523874.195,6437977.812,501.514,667.2,667.2,GranT,,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,MAGMATIC_TEXTURE,PHANERITIC,,,,,,ALTERED,,,,,,,,,,,,,,,PETRO,PETROPHYSICS,text,ENSG,PETRO,3696.42,,1992.51,,,,,,,2.16,1.83E-11,,,12,,,,,,,,,,
Report_Submitted_to_Areva_Resources_Inc,petrophysical_WC_Powerline_Core_Samples,URANIUM,,ENGLISH,UNIVERSITY_OF_SASKATCHEWAN,ORANO,GEOLOGY,PETROPHYSIC,CANADA,SASKATCHEWAN,,,BENETEAU,D,,2018-03-01,MEHMOOD,S,,,,,WC523--523-7--523-7,WGS84 Greenwich,,-104.5956443,58.08401055,2.637566608,,NAD83_UTM_zone_13N,523845.891,6438133.872,2.637566608,D_Beneteau,,WC523--1MAS--29,,,BSMT,,WC____523___,58.08432699,-104.6024843,480.368,523442.334,6438166.706,480.368,523.7,523.7,GnGran,,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,MAGMATIC_TEXTURE,PHANERITIC,,,,,,,,,,,,,,,,,,,,,PETRO,PETROPHYSICS,text,ENSG,PETRO,5469.8,,3311.89,,,,,,,2.57,2.49E-12,,,13,,,,,,,,,,
Report_Submitted_to_Areva_Resources_Inc,petrophysical_WC_Powerline_Core_Samples,URANIUM,,ENGLISH,UNIVERSITY_OF_SASKATCHEWAN,ORANO,GEOLOGY,PETROPHYSIC,CANADA,SASKATCHEWAN,,,BENETEAU,D,,2018-03-01,MEHMOOD,S,,,,,WC523--545-5--545-5,WGS84 Greenwich,,-104.5956399,58.08406886,-18.17168792,,NAD83_UTM_zone_13N,523846.1156,6438140.365,-18.17168792,D_Beneteau,,WC523--1MAS--31,,,BSMT,,WC____523___,58.08432699,-104.6024843,480.368,523442.334,6438166.706,480.368,545.5,545.5,GnGran,,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,MAGMATIC_TEXTURE,PHANERITIC,,,,,,,,,,,,,,,,,,,,,PETRO,PETROPHYSICS,text,ENSG,PETRO,5017.92,,2802.61,,,,,,,2.48,5.34E-12,,,11,,,,,,,,,,
Report_Submitted_to_Areva_Resources_Inc,petrophysical_WC_Powerline_Core_Samples,URANIUM,,ENGLISH,UNIVERSITY_OF_SASKATCHEWAN,ORANO,GEOLOGY,PETROPHYSIC,CANADA,SASKATCHEWAN,,,BENETEAU,D,,2018-03-01,MEHMOOD,S,,,,,WC523--564-9--564-9,WGS84 Greenwich,,-104.5956359,58.08412075,-36.69001534,,NAD83_UTM_zone_13N,523846.3154,6438146.144,-36.69001534,D_Beneteau,,WC523--1MAS--32,,,BSMT,,WC____523___,58.08432699,-104.6024843,480.368,523442.334,6438166.706,480.368,564.9,564.9,GnGran,,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,MAGMATIC_TEXTURE,PHANERITIC,,,,,,,,,,,,,,,,,,,,,PETRO,PETROPHYSICS,text,ENSG,PETRO,5872.65,,3487.22,,,,,,,2.55,6.02E-13,,,13,,,,,,,,,,
Report_Submitted_to_Areva_Resources_Inc,petrophysical_WC_Powerline_Core_Samples,URANIUM,,ENGLISH,UNIVERSITY_OF_SASKATCHEWAN,ORANO,GEOLOGY,PETROPHYSIC,CANADA,SASKATCHEWAN,,,BENETEAU,D,,2018-03-01,MEHMOOD,S,,,,,WC523--583-8--583-8,WGS84 Greenwich,,-104.595632,58.0841713,-54.73106629,,NAD83_UTM_zone_13N,523846.51,6438151.773,-54.73106629,D_Beneteau,,WC523--1MAS--33,,,BSMT,,WC____523___,58.08432699,-104.6024843,480.368,523442.334,6438166.706,480.368,583.8,583.8,GnGran,,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,MAGMATIC_TEXTURE,PHANERITIC,,,,,,QUARTZ,,,,,,,,,,,,,,,PETRO,PETROPHYSICS,text,ENSG,PETRO,6384.09,,3808.68,,,,,,,2.61,1.68E-13,,,4,,,,,,,,,,
Report_Submitted_to_Areva_Resources_Inc,petrophysical_WC_Powerline_Core_Samples,URANIUM,,ENGLISH,UNIVERSITY_OF_SASKATCHEWAN,ORANO,GEOLOGY,PETROPHYSIC,CANADA,SASKATCHEWAN,,,BENETEAU,D,,2018-03-01,MEHMOOD,S,,,,,WC527--549-9--549-9,WGS84 Greenwich,,-104.5962127,58.08302251,-18.24476285,,NAD83_UTM_zone_13N,523813.0358,6438023.669,-18.24476285,D_Beneteau,,WC527--1MAS--34,,,BSMT,,WC____527___,58.08097569,-104.5956654,480.673,523846.672,6437795.983,480.673,549.9,549.9,GranD,,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,MAGMATIC_TEXTURE,PHANERITIC,,,,,,,,,,,,,,,,,,,,,PETRO,PETROPHYSICS,text,AREVA,PETRO,5049.79,,3081.01,,,,,,,2.58,3.85E-12,,,22,,,,,,,,,,
